CLNDN	Count
CASP9-related_condition|not_provided	1
not_specified|not_provided|Bartter_disease_type_4B	1
not_provided|Bartter_disease_type_4B	6
Bartter_disease_type_4B|not_provided|not_specified	1
Bartter_disease_type_4B|not_provided	1
not_provided|Bartter_disease_type_3|Bartter_disease_type_4B	7
not_specified|not_provided|Bartter_disease_type_3|Bartter_disease_type_4B	1
not_specified|Bartter_disease_type_3|Bartter_disease_type_4B|not_provided	5
not_provided|Bartter_disease_type_4B|Bartter_disease_type_3	4
not_specified|Bartter_disease_type_4B|Bartter_disease_type_3|not_provided	2
not_provided|Bartter_disease_type_4B|Bartter_disease_type_3|not_specified	1
not_provided|Cataract_6_multiple_types	1
Cataract_6_multiple_types|not_provided	1
not_specified|not_provided|Cataract_6_multiple_types	1
Inborn_genetic_diseases|Autosomal_recessive_spastic_paraplegia_type_78|Kufor-Rakeb_syndrome|not_provided|not_specified	1
Inborn_genetic_diseases|Autosomal_recessive_spastic_paraplegia_type_78|Kufor-Rakeb_syndrome|not_specified|not_provided	1
not_provided|Kufor-Rakeb_syndrome|Autosomal_recessive_spastic_paraplegia_type_78	1
Kufor-Rakeb_syndrome|Autosomal_recessive_spastic_paraplegia_type_78|not_provided	1
not_specified|not_provided|Gastrointestinal_stromal_tumor|Paragangliomas_4|Pheochromocytoma|Mitochondrial_complex_2_deficiency,_nuclear_type_4	1
Hereditary_cancer-predisposing_syndrome	31
Rheumatoid_arthritis|Abnormal_pulmonary_interstitial_morphology	1
PADI3-related_disorder	5
PADI4-related_disorder|Abnormal_pulmonary_interstitial_morphology|Rheumatoid_arthritis	4
Rheumatoid_arthritis	1
PADI4-related_disorder	1
PADI6-related_disorder	1
Myopathy,_congenital,_progressive,_with_scoliosis	1
Hyperprolinemia_type_2	13
not_provided|Hyperprolinemia_type_2	1
not_specified|not_provided|Hyperprolinemia_type_2	1
not_specified|Hyperprolinemia_type_2|not_provided	1
UBR4-related_disorder	4
not_provided|UBR4-related_disorder	2
Cerebellar_atrophy,_visual_impairment,_and_psychomotor_retardation%3B	1
not_provided|Cerebellar_atrophy,_visual_impairment,_and_psychomotor_retardation%3B|Retinal_dystrophy	1
Autosomal_recessive_early-onset_Parkinson_disease_6|not_specified|not_provided	1
not_provided|Autosomal_recessive_early-onset_Parkinson_disease_6|not_specified	1
Autosomal_recessive_early-onset_Parkinson_disease_6|not_provided|not_specified	1
Congenital_disorder_of_glycosylation|Parkinson_Disease,_Recessive|not_provided|Autosomal_recessive_early-onset_Parkinson_disease_6	2
Congenital_disorder_of_glycosylation|not_provided|Parkinson_Disease,_Recessive|Congenital_disorder_of_glycosylation_type_Ir	1
Congenital_disorder_of_glycosylation_type_Ir|not_provided	1
not_specified|Congenital_disorder_of_glycosylation_type_Ir	1
Congenital_disorder_of_glycosylation|Congenital_disorder_of_glycosylation_type_Ir|Parkinson_Disease,_Recessive|not_specified	1
Congenital_disorder_of_glycosylation_type_Ir	1
not_specified|not_provided|Hypophosphatasia|Adult_hypophosphatasia|Infantile_hypophosphatasia|Childhood_hypophosphatasia	1
not_provided|Childhood_hypophosphatasia	1
not_provided|Adult_hypophosphatasia|Infantile_hypophosphatasia|Childhood_hypophosphatasia	1
not_provided|Osteogenesis_imperfecta|Hypophosphatasia|Childhood_hypophosphatasia|Adult_hypophosphatasia|not_specified|Infantile_hypophosphatasia	1
Adult_hypophosphatasia|not_specified|not_provided|Childhood_hypophosphatasia|Infantile_hypophosphatasia	1
Infantile_hypophosphatasia|not_provided|Childhood_hypophosphatasia|Adult_hypophosphatasia	1
not_specified|not_provided|Adult_hypophosphatasia|Childhood_hypophosphatasia|Infantile_hypophosphatasia	1
Adult_hypophosphatasia|Childhood_hypophosphatasia|not_provided|Infantile_hypophosphatasia|not_specified	1
Infantile_hypophosphatasia|Childhood_hypophosphatasia|not_provided|Adult_hypophosphatasia	1
not_provided|Adult_hypophosphatasia|Childhood_hypophosphatasia|Infantile_hypophosphatasia	2
not_specified|Adult_hypophosphatasia|Childhood_hypophosphatasia|Infantile_hypophosphatasia|not_provided	1
not_specified|not_provided|Adult_hypophosphatasia|Childhood_hypophosphatasia|Hypophosphatasia|Infantile_hypophosphatasia	1
Adult_hypophosphatasia|not_provided|Low_alkaline_phosphatase	1
not_provided|Hypophosphatasia	1
Hypophosphatasia	2
Schwartz-Jampel_syndrome|Lethal_Kniest-like_syndrome|not_provided	1
not_provided|Schwartz-Jampel_syndrome|Lethal_Kniest-like_syndrome|not_specified	1
not_provided|Schwartz-Jampel_syndrome|Lethal_Kniest-like_syndrome	4
not_provided|Lethal_Kniest-like_syndrome|Schwartz-Jampel_syndrome	2
Lethal_Kniest-like_syndrome|Schwartz-Jampel_syndrome|not_specified|not_provided|Connective_tissue_disorder	1
Lethal_Kniest-like_syndrome|Schwartz-Jampel_syndrome|not_provided|not_specified	1
Lethal_Kniest-like_syndrome|Schwartz-Jampel_syndrome|not_provided	1
not_specified|Schwartz-Jampel_syndrome|Lethal_Kniest-like_syndrome|not_provided	1
Lethal_Kniest-like_syndrome|not_provided|Schwartz-Jampel_syndrome	3
Schwartz-Jampel_syndrome_type_1|not_provided|Lethal_Kniest-like_syndrome	1
Schwartz-Jampel_syndrome|Lethal_Kniest-like_syndrome	1
not_specified|not_provided|Lethal_Kniest-like_syndrome|Schwartz-Jampel_syndrome	1
Schwartz-Jampel_syndrome|not_provided|Lethal_Kniest-like_syndrome	1
not_provided|not_specified|C1Q_deficiency	1
not_specified|EPHB2-related_condition	1
Diamond-Blackfan_anemia|Diamond-Blackfan_anemia_7	1
not_specified|UDPglucose-4-epimerase_deficiency	1
Deficiency_of_hydroxymethylglutaryl-CoA_lyase	1
not_specified|Deficiency_of_hydroxymethylglutaryl-CoA_lyase	1
not_specified|Deficiency_of_hydroxymethylglutaryl-CoA_lyase|not_provided	1
Deficiency_of_hydroxymethylglutaryl-CoA_lyase|not_provided	1
not_provided|Van_der_Woude_syndrome_2	2
RH_E/e_POLYMORPHISM	1
Hypercholesterolemia,_familial,_4	2
Cardiovascular_phenotype|Familial_hypercholesterolemia|not_specified|Hypercholesterolemia,_familial,_4	1
Hypercholesterolemia,_familial,_1	17
Eichsfeld_type_congenital_muscular_dystrophy|not_specified|SEPN1-related_disorder|not_provided	1
Eichsfeld_type_congenital_muscular_dystrophy|SEPN1-related_disorder	1
Eichsfeld_type_congenital_muscular_dystrophy|not_specified|not_provided	2
not_provided|not_specified|SEPN1-related_disorder|Eichsfeld_type_congenital_muscular_dystrophy	1
not_specified|SEPN1-related_disorder|not_provided|Eichsfeld_type_congenital_muscular_dystrophy	1
not_specified|not_provided|SEPN1-related_disorder|Eichsfeld_type_congenital_muscular_dystrophy|Congenital_myopathy_with_fiber_type_disproportion	1
not_specified|not_provided|SEPN1-related_disorder	1
SEPN1-related_disorder	1
CD52-related_disorder	2
Developmental_delay_and_seizures_with_or_without_movement_abnormalities|not_provided|Retinitis_pigmentosa_59|Retinal_dystrophy|Retinitis_pigmentosa	1
Retinitis_pigmentosa	11
Intellectual_disability,_autosomal_dominant_14|not_provided	1
not_provided|Intellectual_disability,_autosomal_dominant_14	1
Lichtenstein-Knorr_syndrome	1
Lichtenstein-Knorr_syndrome|not_provided	1
MAP3K6-related_disorder	1
Rheumatic_heart_disease	1
AHDC1-related_intellectual_disability_-_obstructive_sleep_apnea_-_mild_dysmorphism_syndrome|not_provided	1
AHDC1-related_condition|not_provided|AHDC1-related_intellectual_disability_-_obstructive_sleep_apnea_-_mild_dysmorphism_syndrome	1
Dystonia,_childhood-onset,_with_optic_atrophy_and_basal_ganglia_abnormalities|not_provided	1
not_provided|Dystonia,_childhood-onset,_with_optic_atrophy_and_basal_ganglia_abnormalities	1
Obesity,_association_with	1
Reticular_dysgenesis	5
AK2-related_disorder|Reticular_dysgenesis	1
ZMYM6-related_condition	2
AGO1-related_condition	1
Autosomal_recessive_severe_congenital_neutropenia_due_to_CSF3R_deficiency|not_specified	1
not_provided|Psychomotor_retardation,_epilepsy,_and_craniofacial_dysmorphism	1
Neutrophil_inclusion_bodies	2
not_provided|MACF1-related_disorder|Lissencephaly_9_with_complex_brainstem_malformation	1
not_provided|Lissencephaly_9_with_complex_brainstem_malformation	1
Combined_oxidative_phosphorylation_deficiency_35|not_provided	2
Neuronal_ceroid_lipofuscinosis_1|not_provided	2
not_provided|Neuronal_ceroid_lipofuscinosis_1	3
not_provided|Intervertebral_disc_disease,_susceptibility_to	1
not_specified|Severe_combined_immunodeficiency_due_to_CTPS1_deficiency	1
Severe_combined_immunodeficiency_due_to_CTPS1_deficiency|not_specified	2
HIVEP3-related_disorder|not_specified	5
HIVEP3-related_disorder	2
Renal_hypomagnesemia_5_with_ocular_involvement	1
not_provided|Renal_hypomagnesemia_5_with_ocular_involvement	1
Osteogenesis_Imperfecta,_Recessive|not_provided|Osteogenesis_imperfecta_type_8	1
Osteogenesis_imperfecta_type_8|not_provided	1
Dystonia_9|Encephalopathy_due_to_GLUT1_deficiency	1
Congenital_amegakaryocytic_thrombocytopenia|Essential_thrombocythemia|not_specified	1
not_provided|Developmental_and_epileptic_encephalopathy,_15|Intellectual_disability,_autosomal_recessive_12|not_specified	1
Developmental_and_epileptic_encephalopathy,_15|Early_infantile_epileptic_encephalopathy_with_suppression_bursts|Intellectual_disability,_autosomal_recessive_12|not_specified	1
Gorlin_syndrome	4
Gorlin_syndrome|not_specified|not_provided	2
Vanishing_white_matter_disease	1
not_specified|not_provided|Familial_porphyria_cutanea_tarda	1
Hereditary_cancer-predisposing_syndrome|not_provided	3
Cobalamin_C_disease	1
Cobalamin_C_disease|not_provided	1
Autosomal_recessive_limb-girdle_muscular_dystrophy_type_2O|Muscular_dystrophy-dystroglycanopathy_(congenital_with_intellectual_disability),_type_B3|Muscle_eye_brain_disease	1
not_specified|Retinitis_pigmentosa_76|not_provided|Muscular_dystrophy-dystroglycanopathy_(congenital_with_brain_and_eye_anomalies),_type_A3	1
Hereditary_breast_ovarian_cancer_syndrome	3
not_specified|RAD54L-related_disorder|Hereditary_breast_ovarian_cancer_syndrome	1
Pulmonary_disease,_chronic_obstructive,_susceptibility_to	5
Microcephaly_7,_primary,_autosomal_recessive|not_provided|not_specified	1
not_provided|SLC5A9-related_disorder	1
SLC5A9-related_disorder	4
not_provided|Carnitine_palmitoyl_transferase_II_deficiency,_severe_infantile_form|Carnitine_palmitoyl_transferase_II_deficiency,_neonatal_form	1
Levothyroxine_response	2
Desmosterolosis	1
Desmosterolosis|not_provided	1
Desmosterolosis|not_provided|not_specified	1
not_provided|Bartter_disease_type_4A	2
not_specified|not_provided|Bartter_disease_type_4A	1
Hypercholesterolemia,_autosomal_dominant,_3	2
Familial_hypercholesterolemia	5
Hypercholesterolemia,_familial,_1|Short_fetal_femur_length	1
Hypobetalipoproteinemia|Hypercholesterolemia,_autosomal_dominant,_3|Familial_hypercholesterolemia|Hypercholesterolemia,_familial,_1|not_provided|not_specified|Cardiovascular_phenotype	1
not_provided|not_specified|Type_II_complement_component_8_deficiency	1
not_provided|Type_II_complement_component_8_deficiency	1
not_provided|Bone_marrow_failure_syndrome_4	3
Bone_marrow_failure_syndrome_4	2
Chromosome_1p32-p31_deletion_syndrome|not_provided	1
not_provided|NFIA-related_disorder	1
Developmental_and_epileptic_encephalopathy,_23|not_provided	2
DOCK7-related_disorder	1
FOXD3-related_condition	1
not_provided|ALG6-congenital_disorder_of_glycosylation_1C	2
not_specified|ALG6-congenital_disorder_of_glycosylation_1C	1
not_provided|Congenital_disorder_of_glycosylation|PGM1-congenital_disorder_of_glycosylation|not_specified	1
not_provided|not_specified|PGM1-congenital_disorder_of_glycosylation	1
PGM1-congenital_disorder_of_glycosylation|not_specified|not_provided|Congenital_disorder_of_glycosylation	1
PGM1-congenital_disorder_of_glycosylation	1
not_provided|Hearing_loss,_autosomal_recessive_108	2
Hearing_loss,_autosomal_recessive_108|not_provided	2
not_specified|JAK1-related_disorder|not_provided	1
Juvenile_onset_Parkinson_disease_19A	1
not_provided|Juvenile_onset_Parkinson_disease_19A	1
Juvenile_onset_Parkinson_disease_19A|not_provided|not_specified	2
not_provided|Juvenile_onset_Parkinson_disease_19A|not_specified	3
Juvenile_onset_Parkinson_disease_19A|not_specified|not_provided	1
Monogenic_Non-Syndromic_Obesity|Obesity_due_to_leptin_receptor_gene_deficiency	1
not_specified|Monogenic_Non-Syndromic_Obesity|Obesity_due_to_leptin_receptor_gene_deficiency|not_provided|LEPTIN_RECEPTOR_POLYMORPHISM	1
Obesity_due_to_leptin_receptor_gene_deficiency|not_specified|not_provided	1
not_provided|not_specified|Obesity_due_to_leptin_receptor_gene_deficiency|LEPTIN_RECEPTOR_POLYMORPHISM|Monogenic_Non-Syndromic_Obesity	1
Monogenic_diabetes	2
not_provided|not_specified|Monogenic_Non-Syndromic_Obesity|Obesity_due_to_leptin_receptor_gene_deficiency	1
Monogenic_Non-Syndromic_Obesity|not_provided|Obesity_due_to_leptin_receptor_gene_deficiency	1
Schneckenbecken_dysplasia|not_provided	1
not_provided|Schneckenbecken_dysplasia	1
Retinitis_pigmentosa|Leber_congenital_amaurosis_2	1
Retinitis_pigmentosa_87_with_choroidal_involvement|not_specified|not_provided|Leber_congenital_amaurosis_2|Retinitis_pigmentosa_20	1
Cystathioninuria	1
CTH-related_condition|Cystathioninuria|Homocysteine_level_elevated	1
LRRIQ3-related_disorder	1
not_provided|Atrial_conduction_disease	1
not_provided|Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency	1
not_specified|Medium-chain_acyl-coenzyme_A_dehydrogenase_deficiency	1
Premature_ovarian_failure_20|Spermatogenic_failure_2	2
Spermatogenic_failure_2|Premature_ovarian_failure_20	2
not_provided|Neurodevelopmental_disorder_with_hypotonia_and_cerebellar_atrophy,_with_or_without_seizures	1
Neurodevelopmental_disorder_with_hypotonia_and_cerebellar_atrophy,_with_or_without_seizures	1
not_specified|Cardiovascular_phenotype|Dilated_cardiomyopathy_1CC|Hypertrophic_cardiomyopathy_20	1
Neurofacioskeletal_syndrome_with_or_without_renal_agenesis	1
TGFBR3-related_disorder	2
not_provided|TGFBR3-related_disorder	1
Glomuvenous_malformation|not_provided	1
not_specified|Glomuvenous_malformation|not_provided	1
Neutropenia,_severe_congenital,_2,_autosomal_dominant	1
not_provided|not_specified|Neutropenia,_severe_congenital,_2,_autosomal_dominant	1
Diamond-Blackfan_anemia	4
CCDC18-related_condition	3
not_specified|Stargardt_Disease,_Recessive|ABCA4-related_disorder|Retinitis_Pigmentosa,_Recessive|Cone-Rod_Dystrophy,_Recessive|Macular_degeneration|Retinal_dystrophy|not_provided|Cone-rod_dystrophy_3|Retinitis_pigmentosa_19|Severe_early-childhood-onset_retinal_dystrophy|Age_related_macular_degeneration_2	1
not_provided|Retinitis_pigmentosa_19|Cone-rod_dystrophy_3|Age_related_macular_degeneration_2|Severe_early-childhood-onset_retinal_dystrophy	1
Age_related_macular_degeneration_2|Macular_degeneration|not_specified|Cone-rod_dystrophy_3|Retinitis_pigmentosa_19|Stargardt_Disease,_Recessive|Retinitis_Pigmentosa,_Recessive|Cone-Rod_Dystrophy,_Recessive|Severe_early-childhood-onset_retinal_dystrophy|not_provided	1
not_specified|Severe_early-childhood-onset_retinal_dystrophy|Age_related_macular_degeneration_2|Retinitis_pigmentosa_19|Cone-rod_dystrophy_3|not_provided	1
Severe_early-childhood-onset_retinal_dystrophy|not_provided|Retinitis_pigmentosa_19|Age_related_macular_degeneration_2|Cone-rod_dystrophy_3	1
Cone-rod_dystrophy_3|Retinitis_pigmentosa_19|Severe_early-childhood-onset_retinal_dystrophy|not_provided|Age_related_macular_degeneration_2	1
not_provided|Stargardt_disease	1
Age_related_macular_degeneration_2|Retinitis_pigmentosa_19|Severe_early-childhood-onset_retinal_dystrophy|Macular_degeneration|not_specified|ABCA4-related_disorder|Stargardt_Disease,_Recessive|Cone-Rod_Dystrophy,_Recessive|Retinitis_Pigmentosa,_Recessive|Cone-rod_dystrophy_3|not_provided	1
Severe_early-childhood-onset_retinal_dystrophy|not_provided|Age_related_macular_degeneration_2|Cone-rod_dystrophy_3|Retinitis_pigmentosa_19	1
not_specified|not_provided|Cone-rod_dystrophy_3|Age_related_macular_degeneration_2|Retinitis_pigmentosa_19|Severe_early-childhood-onset_retinal_dystrophy	1
not_specified|Severe_early-childhood-onset_retinal_dystrophy|Cone-rod_dystrophy_3|Retinitis_pigmentosa_19|not_provided|Age_related_macular_degeneration_2	1
Congenital_bile_acid_synthesis_defect_5	1
fluorouracil_response_-_Toxicity|capecitabine_response_-_Toxicity|not_provided|not_specified|Dihydropyrimidine_dehydrogenase_deficiency	1
capecitabine_response_-_Toxicity|fluorouracil_response_-_Toxicity|Dihydropyrimidine_dehydrogenase_deficiency|not_provided|not_specified	1
not_provided|not_specified|Glycogen_storage_disease_type_III	1
Glycogen_storage_disease_type_III	1
Glycogen_storage_disease_type_III|not_specified	1
Glycogen_storage_disease_type_III|not_specified|not_provided	2
not_specified|Glycogen_storage_disease_type_III	1
not_specified|not_provided|Glycogen_storage_disease_type_III	1
Glycogen_storage_disease_type_III|not_provided|not_specified	1
not_provided|Glycogen_storage_disease_type_III|not_specified	1
not_provided|Microcephaly_14,_primary,_autosomal_recessive	1
Maple_syrup_urine_disease_type_1A|Maple_syrup_urine_disease|not_specified|not_provided	1
not_specified|not_provided|Maple_syrup_urine_disease_type_1A|Maple_syrup_urine_disease	1
Autosomal_recessive_nonsyndromic_hearing_loss_32	1
not_provided|Autosomal_recessive_nonsyndromic_hearing_loss_32	2
Fibrochondrogenesis_1|Stickler_syndrome_type_2|not_provided	1
not_provided|Fibrochondrogenesis_1|Marshall_syndrome|Hearing_loss,_autosomal_dominant_37|not_specified|Stickler_syndrome_type_2	3
not_specified|Fibrochondrogenesis_1|Marshall_syndrome|Hearing_loss,_autosomal_dominant_37|not_provided|Stickler_syndrome_type_2	1
not_provided|Stickler_syndrome_type_2|Marshall_syndrome|Hearing_loss,_autosomal_dominant_37|not_specified|Fibrochondrogenesis_1	1
not_provided|COL11A1-related_disorder	2
not_provided|not_specified|Fibrochondrogenesis_1|Marshall_syndrome|Hearing_loss,_autosomal_dominant_37|Stickler_syndrome_type_2	1
COL11A1-related_disorder	1
not_provided|Fontaine_progeroid_syndrome	1
not_provided|Chudley-McCullough_syndrome	2
Neurodevelopmental_disorder_with_microcephaly,_ataxia,_and_seizures	2
CELSR2-related_disorder|not_provided	2
SORT1-related_disorder	2
not_specified|not_provided|Achromatopsia_4	1
not_specified|Achromatopsia_4	1
not_provided|Pontocerebellar_hypoplasia_type_9|Hereditary_spastic_paraplegia_63	2
not_provided|Frontorhiny	1
Progressive_essential_tremor-speech_impairment-facial_dysmorphism-intellectual_disability-abnormal_behavior_syndrome	4
not_specified|Spinocerebellar_ataxia_type_19/22	1
Cardiovascular_phenotype|not_specified|Spinocerebellar_ataxia_type_19/22	1
Urofacial_syndrome_2	2
chronic_fatigue_syndrome_with_infection-triggered_onset|not_provided|Addison_disease,_susceptibility_to|Diabetes_mellitus,_insulin-dependent,_susceptibility_to|Hashimoto_thyroiditis,_susceptibility_to|Rheumatoid_arthritis|Systemic_lupus_erythematosus,_susceptibility_to	1
Hereditary_spastic_paraplegia_47|not_specified|Hereditary_spastic_paraplegia	1
Hereditary_spastic_paraplegia_47|not_specified	1
Hereditary_spastic_paraplegia_47|not_provided|not_specified	1
not_provided|Hoyeraal-Hreidarsson_syndrome|Autosomal_recessive_dyskeratosis_congenita|not_specified	1
CSDE1-related_disorder	1
not_provided|not_specified|Congenital_hypothyroidism|Isolated_thyroid-stimulating_hormone_deficiency	1
Sacral_defect_with_anterior_meningocele|not_provided	1
not_provided|Sacral_defect_with_anterior_meningocele|Neural_tube_defect	1
Sacral_defect_with_anterior_meningocele|Neural_tube_defect	2
Caudal_regression_sequence|Catecholaminergic_polymorphic_ventricular_tachycardia|Neural_tube_defect	1
Caudal_regression_sequence|not_provided|Catecholaminergic_polymorphic_ventricular_tachycardia|Catecholaminergic_polymorphic_ventricular_tachycardia_2|Neural_tube_defect	1
not_provided|Catecholaminergic_polymorphic_ventricular_tachycardia_2|not_specified	1
Catecholaminergic_polymorphic_ventricular_tachycardia_1	2
Catecholaminergic_polymorphic_ventricular_tachycardia_2|not_provided	2
not_specified|Catecholaminergic_polymorphic_ventricular_tachycardia|not_provided|Catecholaminergic_polymorphic_ventricular_tachycardia_2|Catecholaminergic_polymorphic_ventricular_tachycardia_1	1
Cardiovascular_phenotype|Catecholaminergic_polymorphic_ventricular_tachycardia|Catecholaminergic_polymorphic_ventricular_tachycardia_2|not_specified|Catecholaminergic_polymorphic_ventricular_tachycardia_1|not_provided	1
Hypomagnesemia,_seizures,_and_intellectual_disability_2|not_provided|Charcot-marie-tooth_disease,_axonal,_type_2DD	1
IGSF3-related_condition	1
SPAG17-related_disorder	5
not_provided|Pelviscapular_dysplasia	1
Pelviscapular_dysplasia|not_provided	1
3_beta-Hydroxysteroid_dehydrogenase_deficiency|not_provided	1
PHGDH_deficiency|Neu-Laxova_syndrome_1|not_provided	1
not_provided|PHGDH_deficiency|Neu-Laxova_syndrome_1	2
PHGDH_deficiency	2
Alagille_syndrome_due_to_a_NOTCH2_point_mutation|Hajdu-Cheney_syndrome|not_provided	1
Lipid_proteinosis|not_provided	1
Lipid_proteinosis	1
Ectopia_lentis_2,_isolated,_autosomal_recessive|not_provided|Ectopia_lentis_et_pupillae|not_specified	2
